uuid,num_chars,num_letters,num_index_fk,num_grade_fk,num_index_dc,num_grade_dc,num_index_cl,num_grade_cl,num_index_SMOG,num_grade_SMOG,num_index_ari,num_grade_ari,ttr,rttr,cttr,httr,sttr,mttr,dttr,mattr,msttr,mtld,mamtld,hdd,simpson_index,hapax_index
тексты/01a3be1f-bb56-49f8-bdd6-d2f312c162e7\0ba36426-6ad7-4603-a334-e0706c73fe57.txt,5708,4388,18.039170731707316,"Аспирантура, второе высшее образование, phD",15.668560975609756,4 - 6 курсы ВУЗа (возраст примерно: 20-22 лет),16.35130081300813,4 - 6 курсы ВУЗа (возраст примерно: 20-22 лет),15.249472213059097,4 - 6 курсы ВУЗа (возраст примерно: 20-22 лет),17.458345528455283,4 - 6 курсы ВУЗа (возраст примерно: 20-22 лет),0.5657370517928287,15.524303013782776,10.977339934240558,0.9140066013933685,0.914905405883747,0.02989208453089015,33.453672291292065,0.8750568181818165,0.8653333333333334,174.0848578215892,223.84519815350205,0.9037213484545842,160.77683134582622,1189.8200581179594
тексты/01a3be1f-bb56-49f8-bdd6-d2f312c162e7\0c764909-aedb-4927-8b02-f78a56d3dd2c.txt,2926,2418,19.79237349397591,"Аспирантура, второе высшее образование, phD",17.410234939759036,4 - 6 курсы ВУЗа (возраст примерно: 20-22 лет),17.197108433734947,4 - 6 курсы ВУЗа (возраст примерно: 20-22 лет),16.392189775751188,4 - 6 курсы ВУЗа (возраст примерно: 20-22 лет),18.43265963855422,"Аспирантура, второе высшее образование, phD",0.5686813186813187,10.849748060071855,7.671930427442397,0.9042868666749633,0.8930193129470027,0.0373718642831174,26.758097814556876,0.8089523809523822,0.822857142857143,100.80264634339204,80.19873996213357,0.887195673980943,143.0,791.2656513662009
тексты/01a3be1f-bb56-49f8-bdd6-d2f312c162e7\0ddf3669-e7b1-4c5a-b145-32447ea92e9e.txt,3719,3163,26.741083739837393,"Аспирантура, второе высшее образование, phD",20.295386585365854,"Аспирантура, второе высшее образование, phD",24.917967479674793,"Аспирантура, второе высшее образование, phD",20.01613633129855,"Аспирантура, второе высшее образование, phD",27.79479139566395,"Аспирантура, второе высшее образование, phD",0.7037037037037037,14.161763857498668,10.013879257199868,0.9414716028282593,0.9370693993034146,0.02244656059285826,44.550255076413194,0.8776966292134831,0.8775000000000001,278.5332634887376,339.45392953929536,0.926465876413783,220.51212938005392,1429.0859261849625
тексты/01a3be1f-bb56-49f8-bdd6-d2f312c162e7\0fd8eb60-f78e-43a5-b15b-a787800f18a4.txt,7392,5395,11.207083576855638,10 - 11-й класс (возраст примерно: 15-16 лет),9.482144944476914,7 - 9-й класс (возраст примерно: 12-14 лет),11.402758620689657,10 - 11-й класс (возраст примерно: 15-16 лет),10.724122041457658,10 - 11-й класс (возраст примерно: 15-16 лет),11.91538184297682,1 - 3 курсы ВУЗа (возраст примерно: 17-19 лет),0.5304428044280443,17.464381252885126,12.349182413142286,0.9092722303776516,0.9143317050799747,0.02989354012311597,33.45204334720877,0.866743961352659,0.8657142857142857,161.4965314031711,161.24854095941046,0.9090186625813356,167.99828277046365,1064.1108763819277
тексты/01a3be1f-bb56-49f8-bdd6-d2f312c162e7\12951b51-cdff-45e5-9342-2bf0f9a23c32.txt,2393,2027,24.5780899887514,"Аспирантура, второе высшее образование, phD",20.81756692913386,"Аспирантура, второе высшее образование, phD",21.632598425196853,"Аспирантура, второе высшее образование, phD",20.238607112499295,"Аспирантура, второе высшее образование, phD",24.005843082114737,"Аспирантура, второе высшее образование, phD",0.753731343283582,12.339113879986828,8.725071098371737,0.9494330278186733,0.9415072513392894,0.02082543864767299,48.01819625113821,0.9001826484018262,0.8720000000000001,227.91752962546494,15.041666666666668,0.903626407830293,136.55725190839695,1816.6045496067236
тексты/01a3be1f-bb56-49f8-bdd6-d2f312c162e7\3ab607e7-f0ba-4ef1-8b3b-6e78b8f4f4a6.txt,2502,2071,16.887138040042146,4 - 6 курсы ВУЗа (возраст примерно: 20-22 лет),15.542712328767124,4 - 6 курсы ВУЗа (возраст примерно: 20-22 лет),15.562123287671234,4 - 6 курсы ВУЗа (возраст примерно: 20-22 лет),14.136212571709423,1 - 3 курсы ВУЗа (возраст примерно: 17-19 лет),16.509066385669122,4 - 6 курсы ВУЗа (возраст примерно: 20-22 лет),0.6925465838509317,12.427304140430367,8.787431029565973,0.9363795142901172,0.928505103488921,0.0253684776816389,39.418999143325664,0.8893040293040296,0.8766666666666666,200.52477477477478,229.9579381122687,0.8991515876924129,144.36033519553072,1364.0289253370008
тексты/01a3be1f-bb56-49f8-bdd6-d2f312c162e7\3b277ad0-de4b-4098-9666-b0b9691b2d76.txt,2009,1618,17.541501809954745,"Аспирантура, второе высшее образование, phD",14.756016515837105,4 - 6 курсы ВУЗа (возраст примерно: 20-22 лет),16.76954751131222,4 - 6 курсы ВУЗа (возраст примерно: 20-22 лет),13.603232086849248,1 - 3 курсы ВУЗа (возраст примерно: 17-19 лет),17.890656221719453,"Аспирантура, второе высшее образование, phD",0.640625,10.25,7.247844507162112,0.9196940005772605,0.9047506694944991,0.03334634445880084,29.98829455610922,0.8139130434782618,0.8240000000000001,117.31696348065466,77.47731601731601,0.8772791098394356,123.16981132075472,897.6167143435075
тексты/01a3be1f-bb56-49f8-bdd6-d2f312c162e7\3b3c9520-d4b7-4316-8d94-4d7621914e5b.txt,2861,2468,31.043501326259943,"Аспирантура, второе высшее образование, phD",25.505172413793105,"Аспирантура, второе высшее образование, phD",24.907931034482758,"Аспирантура, второе высшее образование, phD",24.81494420624568,"Аспирантура, второе высшее образование, phD",28.492066312997352,"Аспирантура, второе высшее образование, phD",0.7352941176470589,12.862393885688164,9.095085938862487,0.9462776049851912,0.9393569628106893,0.021612395678163452,46.26974329413983,0.8957198443579772,0.8833333333333334,242.6701886792453,15.380952380952381,0.9160659861362065,187.40963855421685,1553.5758915509873
тексты/01a3be1f-bb56-49f8-bdd6-d2f312c162e7\56d050e9-8682-4d0b-9d3d-bb7a35b9e38b.txt,3037,2568,18.99286058519793,"Аспирантура, второе высшее образование, phD",14.87555421686747,4 - 6 курсы ВУЗа (возраст примерно: 20-22 лет),19.26036144578314,"Аспирантура, второе высшее образование, phD",14.02909152985272,1 - 3 курсы ВУЗа (возраст примерно: 17-19 лет),20.706651462994834,"Аспирантура, второе высшее образование, phD",0.7166666666666667,13.597793938724031,9.615092303249096,0.9434015361012126,0.9379228144794262,0.022140753639993335,45.165580912913356,0.8978135048231521,0.8942857142857142,320.0,332.6835016835017,0.9259228074720178,216.84563758389262,1345.9715208121634
тексты/01a3be1f-bb56-49f8-bdd6-d2f312c162e7\5e1196e3-eae7-47fa-8d8d-039d2dd65707.txt,4859,4090,20.483540927482103,"Аспирантура, второе высшее образование, phD",16.23521615312792,4 - 6 курсы ВУЗа (возраст примерно: 20-22 лет),17.244955908289242,4 - 6 курсы ВУЗа (возраст примерно: 20-22 лет),16.65963575759565,4 - 6 курсы ВУЗа (возраст примерно: 20-22 лет),18.793658289241627,"Аспирантура, второе высшее образование, phD",0.5829228243021346,14.385325947897663,10.171961527337238,0.9158272340698694,0.914142520969791,0.0302277681578802,33.08216454410333,0.8252499999999983,0.8266666666666668,117.93985345556703,114.6686531149459,0.8876228320517867,131.76939501779358,1267.357870364962
