uuid,num_chars,num_letters,num_index_fk,num_grade_fk,num_index_dc,num_grade_dc,num_index_cl,num_grade_cl,num_index_SMOG,num_grade_SMOG,num_index_ari,num_grade_ari,ttr,rttr,cttr,httr,sttr,mttr,dttr,mattr,msttr,mtld,mamtld,hdd,simpson_index,hapax_index
тексты/2ec07bc6-82b1-48ee-91da-2ca4362d63c8\12583c22-cff9-4f37-b007-b7c4003e291d.txt,1735,1508,25.362571428571428,"Аспирантура, второе высшее образование, phD",20.83691208791209,"Аспирантура, второе высшее образование, phD",22.549120879120885,"Аспирантура, второе высшее образование, phD",17.889486699854505,"Аспирантура, второе высшее образование, phD",24.475071428571432,"Аспирантура, второе высшее образование, phD",0.7373737373737373,10.375768195973041,7.336776051392248,0.9423893674018603,0.9286353157206233,0.025084471538308718,39.865300669093685,0.889664429530201,0.88,159.47472745797248,12.166666666666668,0.8996611695014332,146.6390977443609,1241.9004362154947
тексты/2ec07bc6-82b1-48ee-91da-2ca4362d63c8\26224a08-5767-41b2-91e6-66804604891f.txt,5582,4627,17.59789746293245,"Аспирантура, второе высшее образование, phD",14.66812909390445,4 - 6 курсы ВУЗа (возраст примерно: 20-22 лет),17.27049423393739,4 - 6 курсы ВУЗа (возраст примерно: 20-22 лет),11.99919355716806,1 - 3 курсы ВУЗа (возраст примерно: 17-19 лет),18.94849960461285,"Аспирантура, второе высшее образование, phD",0.6071942446043166,16.0073724022096,11.318921574580804,0.9237601998158151,0.9240760542528464,0.026826251871948537,37.276918325130325,0.8513931888544862,0.8676923076923077,182.65262719808175,192.67164936027763,0.9403846347077747,299.95646766169153,1007.8299054933009
тексты/2ec07bc6-82b1-48ee-91da-2ca4362d63c8\2681ad39-fd71-4efb-bea4-112a781b5838.txt,1599,1380,23.132346153846157,"Аспирантура, второе высшее образование, phD",18.216347633136095,"Аспирантура, второе высшее образование, phD",22.096035502958586,"Аспирантура, второе высшее образование, phD",16.97952056812793,4 - 6 курсы ВУЗа (возраст примерно: 20-22 лет),24.02753476331361,"Аспирантура, второе высшее образование, phD",0.75,10.062305898749052,7.115124735378854,0.9446014899194735,0.9299223044964376,0.02456399834395576,40.70998483217456,0.88030534351145,0.86,201.60000000000002,1.0,0.9069894458929364,159.5049504950495,1087.363529246237
тексты/2ec07bc6-82b1-48ee-91da-2ca4362d63c8\32545abf-9e58-4f11-bf5c-46c29f2c7f50.txt,2068,1679,17.14508427973699,4 - 6 курсы ВУЗа (возраст примерно: 20-22 лет),16.96474058577406,4 - 6 курсы ВУЗа (возраст примерно: 20-22 лет),15.232761506276148,4 - 6 курсы ВУЗа (возраст примерно: 20-22 лет),14.994277452303562,4 - 6 курсы ВУЗа (возраст примерно: 20-22 лет),16.12951195457262,4 - 6 курсы ВУЗа (возраст примерно: 20-22 лет),0.5746268656716418,9.407047215435501,6.651786876976473,0.9009058007059417,0.8823674609978107,0.04081083123463669,24.503298995568773,0.82703196347032,0.8320000000000001,101.38982027046106,79.87531916646076,0.8641516004200767,122.94845360824742,812.897300609638
тексты/2ec07bc6-82b1-48ee-91da-2ca4362d63c8\354ea022-1d43-476d-9b8a-1f3b13debb3b.txt,7121,5906,19.66150544888427,"Аспирантура, второе высшее образование, phD",17.624886351842246,"Аспирантура, второе высшее образование, phD",19.048989361702134,"Аспирантура, второе высшее образование, phD",14.063145396463959,1 - 3 курсы ВУЗа (возраст примерно: 17-19 лет),20.69669875454074,"Аспирантура, второе высшее образование, phD",0.5351787773933102,15.758266170822727,11.142776869131321,0.9075904179266391,0.9100316573783985,0.03145302294077726,31.793446432252157,0.8561613691931538,0.8447058823529412,178.7480063841033,173.62732095490716,0.9125833808799737,176.74717514124293,960.0287755133534
тексты/2ec07bc6-82b1-48ee-91da-2ca4362d63c8\379db27d-37f8-4955-8193-d7a6c132af27.txt,1390,1162,23.3914995004995,"Аспирантура, второе высшее образование, phD",20.545143356643358,"Аспирантура, второе высшее образование, phD",20.93573426573427,"Аспирантура, второе высшее образование, phD",16.075952166942933,4 - 6 курсы ВУЗа (возраст примерно: 20-22 лет),22.693079170829172,"Аспирантура, второе высшее образование, phD",0.7650602409638554,9.857111676470426,6.970030509345337,0.9476131960823703,0.9325327765149984,0.023596510548221816,42.37914745726495,0.8622222222222221,0.88,197.8379487179487,1.0,0.8986446644067897,142.65625,1342.636796100414
тексты/2ec07bc6-82b1-48ee-91da-2ca4362d63c8\6b392e19-1058-41f5-89fd-4d37780e903f.txt,5447,4559,20.25022935234699,"Аспирантура, второе высшее образование, phD",17.39782887700535,4 - 6 курсы ВУЗа (возраст примерно: 20-22 лет),18.877912457912466,"Аспирантура, второе высшее образование, phD",15.363327528659473,4 - 6 курсы ВУЗа (возраст примерно: 20-22 лет),20.273026936026938,"Аспирантура, второе высшее образование, phD",0.5756676557863502,14.9452015859641,10.56785338763516,0.915214914583805,0.9147950559419817,0.02997358767663937,33.362706219495166,0.8686079999999962,0.8523076923076924,177.5164126189713,193.08760484622553,0.9219545783049157,214.57048249763483,938.0513161159863
тексты/2ec07bc6-82b1-48ee-91da-2ca4362d63c8\72d48bae-a6b1-4663-b75b-884e9ad53a90.txt,1418,1205,23.428115884115876,"Аспирантура, второе высшее образование, phD",18.646987012987015,"Аспирантура, второе высшее образование, phD",19.751168831168833,"Аспирантура, второе высшее образование, phD",16.12946133808832,4 - 6 курсы ВУЗа (возраст примерно: 20-22 лет),21.26531368631369,"Аспирантура, второе высшее образование, phD",0.593939393939394,7.629289652782925,5.394722449119167,0.8979664005632206,0.8648590535794081,0.04601323031132481,21.73287972250623,0.7693103448275862,0.7999999999999999,73.80566551212272,55.27607709750566,0.8171140876551465,82.5,749.3566432171132
тексты/2ec07bc6-82b1-48ee-91da-2ca4362d63c8\a5868a86-5e2d-42c8-acb4-3fb82a885cd7.txt,1068,907,18.645757575757578,"Аспирантура, второе высшее образование, phD",15.39818181818182,4 - 6 курсы ВУЗа (возраст примерно: 20-22 лет),18.0325,"Аспирантура, второе высшее образование, phD",13.901425919377397,1 - 3 курсы ВУЗа (возраст примерно: 17-19 лет),19.335166666666673,"Аспирантура, второе высшее образование, phD",0.7596899224806202,8.628418881991113,6.101213502373965,0.9434453631493209,0.9220624284727188,0.02679565648155296,37.319481263257494,0.8472500000000004,0.87,125.16937029167474,83.52197802197801,0.9021201309419736,179.47826086956522,940.1717800423926
тексты/2ec07bc6-82b1-48ee-91da-2ca4362d63c8\a6390364-d492-469e-a56a-68ef1a14bbc5.txt,2134,1791,18.948690039840635,"Аспирантура, второе высшее образование, phD",14.464614342629483,1 - 3 курсы ВУЗа (возраст примерно: 17-19 лет),16.82338645418327,4 - 6 курсы ВУЗа (возраст примерно: 20-22 лет),15.363327528659475,4 - 6 курсы ВУЗа (возраст примерно: 20-22 лет),18.321668127490035,"Аспирантура, второе высшее образование, phD",0.6470588235294118,10.67156750159865,7.545937746270389,0.9223450870884068,0.9091496996367833,0.03189678171889705,31.351125289469447,0.8858295964125572,0.8640000000000001,152.07931438714758,95.05235131840637,0.9013048148781626,173.8490566037736,856.968254220038
